"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","Deve deletar um usuário previamente cadastrado","Testes da Funcionalidade Usuários","2026-06-03","passed","2026-06-03","","","",""
"","42","Deve validar um usuário com email inválido","Testes da Funcionalidade Usuários","2026-06-03","passed","2026-06-03","","","",""
"","60","Deve editar um usuário previamente cadastrado","Testes da Funcionalidade Usuários","2026-06-03","passed","2026-06-03","","","",""
"","37","Deve listar usuários cadastrados","Testes da Funcionalidade Usuários","2026-06-03","passed","2026-06-03","","","",""
"","42","Deve cadastrar um usuário com sucesso","Testes da Funcionalidade Usuários","2026-06-03","passed","2026-06-03","","","",""
"","89","Deve validar contrato de usuários","Testes da Funcionalidade Usuários","2026-06-03","passed","2026-06-03","","","",""
